#timestep time dt l2_rho l2_rho_v1 l2_rho_v2 l2_rho_e_total linf_rho linf_rho_v1 linf_rho_v2 linf_rho_e_total cons_rho cons_rho_v1 cons_rho_v2 cons_rho_e_total dsdu_ut 
240 7.242432945108257 0.029787390518748087 5.269138971265105e-5 3.783970902411051e-5 3.783970901430584e-5 2.171691549534813e-5 0.00021690825106057687 0.00012094865380696262 0.00012094690433572808 0.0002151313400360344 8.770761894538737e-14 9.103828801926284e-14 8.104628079763643e-14 2.2026824808563106e-13 -9.040751882623953e-9
250 7.541911523834059 0.0298305532847396 5.436679346503109e-5 3.8941070219623924e-5 3.894107020598385e-5 2.1198732101165182e-5 0.00021574461733298023 0.00011734238087779403 0.00011734245492167616 0.0002034150462604245 9.43689570931383e-14 8.615330671091215e-14 9.281464485866309e-14 2.3714363805993344e-13 -2.07234597747738e-7
260 7.841375140137512 0.029880492999959932 5.415288177448259e-5 3.8767355435013266e-5 3.8767355415682165e-5 1.9892907343145105e-5 0.00020075289740528746 0.0001131348631004947 0.00011313492216791232 0.00023939378781268061 8.815170815523743e-14 8.748557434046234e-14 9.214851104388799e-14 2.6201263381153694e-13 1.0906852326718871e-7
270 8.140821182637278 0.029933074028815815 5.294640746673e-5 3.802715553050246e-5 3.802715550292327e-5 2.099870407886113e-5 0.00021038961873243167 0.0001322504311320749 0.00013224192473293428 0.00016923272435498404 9.481304630298837e-14 9.969802761133906e-14 7.882583474838611e-14 2.353672812205332e-13 1.4183015834391357e-7
280 8.44024912301769 0.029985885746538585 5.2360719524756054e-5 3.783653934206736e-5 3.783653930338354e-5 2.420316194445267e-5 0.00022045719435981326 0.00012091930947377705 0.00012091932482949375 0.0001916918309996518 9.814371537686384e-14 1.0014211682118912e-13 9.658940314238862e-14 2.424727085781342e-13 -1.4426725874168075e-7
290 8.739656515576582 0.03003641337819743 5.3502120127292245e-5 3.879539490777063e-5 3.8795394855184035e-5 2.568461819104678e-5 0.0002250196157160822 0.00012077123779308252 0.00012077105968222313 0.00024711279733313773 1.028066520802895e-13 1.0236256287043943e-13 1.0436096431476471e-13 2.566835632933362e-13 3.6292013687754026e-8
300 9.039042389212899 0.030081481280802482 5.632731659527006e-5 4.0746118072132454e-5 4.074611800252931e-5 2.4092329019661355e-5 0.00022042013804712823 0.00012396806883119282 0.0001239681500599943 0.00017953759386468704 1.1390888232654106e-13 1.0658141036401503e-13 1.1524114995609125e-13 2.6201263381153694e-13 1.2814075525217676e-7
310 9.338410274118589 0.03011954640392014 6.0157489648974585e-5 4.3277352346307003e-5 4.327735225545086e-5 2.131261554328883e-5 0.00022830222153080726 0.00012759699395337165 0.00012759747643142916 0.00022577479351060248 1.1302070390684094e-13 1.0969003483296547e-13 1.1790568521519162e-13 2.6556534749033744e-13 -1.742913103653431e-7
320 9.637761815531638 0.0301479743530469 6.424074994524586e-5 4.599965242178081e-5 4.5999652303733724e-5 2.0723481649918406e-5 0.00023793147434059136 0.0001325429481893181 0.00013253789901312985 0.00018791290082198486 1.1546319456101628e-13 1.2212453270876722e-13 1.1834977442504169e-13 2.8954616482224083e-13 -7.164758796602542e-8
330 9.937098668877852 0.030164414371664387 6.756945026665723e-5 4.8235681323802804e-5 4.8235681169229943e-5 2.1302424672203345e-5 0.0002521536726711737 0.00014345755990374798 0.00014343233341662653 0.00015342307684917955 1.2523315717771766e-13 1.1879386363489175e-13 1.305622276959184e-13 3.0020430585864233e-13 1.8679095530934106e-7
333 10.0 0.002833889186964811 6.80699915763984e-5 4.855742949368301e-5 4.855742936520414e-5 2.111050239494013e-5 0.0002660552377617975 0.00013904714324430856 0.00013904673322651107 0.00015888795702512226 1.1324274851176597e-13 1.1191048088221578e-13 1.1546319456101628e-13 2.7977620220553945e-13 1.8195100929008186e-7
